"episode","stage_number","difficulty","i_difficulty","level","exp","coins","cheerpoint","drops","objectives"
"26","3","Hard","2","242","186","496","372","グリーン・クォーツ
スピア・ストーン
カーマイン・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"26","5","Easy","0","31","69","155","93","シャヴィット・クォーツ
ソード・ストーン","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 20 combo"
"26","5","Normal","1","156","99","254","161","シャヴィット・クォーツ
ソード・ストーン","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 50 combo"
"26","5","Hard","2","243","186","496","279","シャヴィット・クォーツ
ソード・ストーン","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 100 combo"
"26","6","Easy","0","32","81","105","140","クロム・メタル
ソード・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 20 combo"
"26","6","Normal","1","156","111","284","212","クロム・メタル
ソード・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 50 combo"
"26","6","Hard","2","243","210","560","385","クロム・メタル
ソード・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 100 combo"
"27","2","Easy","0","32","72","160","96","ブラック・メタル
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 20 combo"
"27","2","Normal","1","156","102","290","164","ブラック・メタル
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 50 combo"
"27","2","Hard","2","244","192","576","288","ブラック・メタル
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 100 combo"
"27","3","Easy","0","33","69","155","124","ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 20 combo"
"27","3","Normal","1","156","99","281","159","ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 50 combo"
"27","3","Hard","2","244","186","558","310","ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 100 combo"
"27","5","Easy","0","33","69","124","124","シャヴィット・クォーツ
ガン・ストーン
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 20 combo"
"27","5","Normal","1","157","102","283","190","シャヴィット・クォーツ
ガン・ストーン
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 50 combo"
"27","5","Hard","2","245","186","558","341","シャヴィット・クォーツ
ガン・ストーン
カーマイン・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 100 combo"
"27","6","Easy","0","34","48","144","96","クロム・メタル
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 20 combo"
"27","6","Normal","1","157","81","224","152","クロム・メタル
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 50 combo"
"27","6","Hard","2","245","144","432","288","クロム・メタル
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 100 combo"
"28","2","Easy","0","34","51","150","100","ブラック・メタル
ソード・ストーン
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"28","2","Normal","1","157","75","225","150","ブラック・メタル
ソード・ストーン
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","2","Hard","2","246","150","450","275","ブラック・メタル
ソード・ストーン
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","3","Easy","0","35","63","145","116","ソード・ストーン
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"28","3","Normal","1","157","87","261","145","ソード・ストーン
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","3","Hard","2","246","174","522","290","ソード・ストーン
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","5","Easy","0","35","54","156","104","ブラック・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"28","5","Normal","1","158","78","234","156","ブラック・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","5","Hard","2","247","156","468","286","ブラック・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","6","Easy","0","47","57","162","108","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"28","6","Normal","1","158","81","243","162","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"28","6","Hard","2","247","162","486","297","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"29","2","Easy","0","36","105","156","156","シャヴィット・クォーツ
スピア・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"29","2","Normal","1","161","105","208","182","シャヴィット・クォーツ
スピア・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"29","2","Hard","2","255","156","416","442","シャヴィット・クォーツ
スピア・ストーン
蒼の涙","► Clear stage with a team of only middle school first year
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"29","3","Easy","0","37","81","162","108","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"29","3","Normal","1","161","108","189","189","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"29","3","Hard","2","255","162","378","324","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with a team of only middle school first year
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"29","5","Easy","0","37","84","162","162","ガン・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"29","5","Normal","1","161","108","216","189","ガン・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"29","5","Hard","2","256","162","432","432","ガン・ストーン
エンダイブ・コア","► Clear stage with a team of only high school first year
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"29","6","Easy","0","38","105","147","147","薄藤の花
ガン・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"29","6","Normal","1","161","126","210","189","薄藤の花
ガン・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"29","6","Hard","2","256","189","420","441","薄藤の花
ガン・ストーン
蒼の涙","► Clear stage with a team of only high school first year
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"30","2","Easy","0","38","114","168","140","クロム・メタル
ソード・ストーン","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"30","2","Normal","1","162","114","196","196","クロム・メタル
ソード・ストーン","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"30","2","Hard","2","257","168","392","420","クロム・メタル
ソード・ストーン","► Clear stage with a team of only middle school second year
► Clear stage with at least 100 combo
► Clear stage without getting any ailments"
"30","3","Easy","0","39","105","156","156","ソード・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"30","3","Normal","1","162","132","208","182","ソード・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"30","3","Hard","2","257","210","416","416","ソード・ストーン
蒼の涙","► Clear stage with a team of only middle school second year
► Clear stage with at least 100 combo
► Clear stage without getting any ailments"
"30","5","Easy","0","39","96","174","116","薄藤の花
ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"30","5","Normal","1","163","117","203","203","薄藤の花
ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"30","5","Hard","2","258","174","406","377","薄藤の花
ロッド・ストーン
エンダイブ・コア","► Clear stage with a team of only high school second year
► Clear stage with a team of at most 2 members
► Clear stage without getting any ailments"
"30","6","Easy","0","40","105","156","156","シャヴィット・クォーツ
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"30","6","Normal","1","163","132","208","182","シャヴィット・クォーツ
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"30","6","Hard","2","258","210","416","442","シャヴィット・クォーツ
ロッド・ストーン","► Clear stage with a team of only high school second year
► Clear stage with a team of at most 2 members
► Clear stage without getting any ailments"
"31","2","Easy","0","40","114","152","114","薄藤の花
ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"31","2","Normal","1","163","135","209","190","薄藤の花
ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"31","2","Hard","2","259","210","418","342","薄藤の花
ハンマー・ストーン
エンダイブ・コア","► Clear stage with a team of only middle school third year
► Clear stage with a team of at most 2 members
► Clear stage within 60 seconds"
"31","3","Easy","0","41","120","168","144","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"31","3","Normal","1","163","144","216","192","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"31","3","Hard","2","259","216","432","408","クロム・メタル
ハンマー・ストーン","► Clear stage with a team of only middle school third year
► Clear stage with a team of at most 2 members
► Clear stage within 60 seconds"
"31","5","Easy","0","41","105","156","156","ロッド・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"31","5","Normal","1","164","132","208","208","ロッド・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"31","5","Hard","2","260","210","416","416","ロッド・ストーン
蒼の涙","► Clear stage with a team of only high school third year
► Clear stage with at least 100 combo
► Clear stage without getting any ailments"
"31","6","Easy","0","42","105","156","156","シャヴィット・クォーツ
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage without getting any ailments"
"31","6","Normal","1","164","156","234","208","シャヴィット・クォーツ
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage without getting any ailments"
"31","6","Hard","2","260","234","468","416","シャヴィット・クォーツ
ガン・ストーン","► Clear stage with a team of only high school third year
► Clear stage with at least 100 combo
► Clear stage without getting any ailments"
"32","2","Easy","0","42","111","176","154","ソード・ストーン
スピア・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"32","2","Normal","1","164","156","220","198","ソード・ストーン
スピア・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"32","2","Hard","2","261","243","440","418","ソード・ストーン
スピア・ストーン","► Clear stage with a team of at most 2 members
► Clear stage with no one defeated
► Clear stage within 120 seconds"
"32","3","Easy","0","43","126","175","150","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"32","3","Normal","1","164","150","225","200","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage within 120 seconds"
"32","3","Hard","2","261","225","450","400","クロム・メタル
ハンマー・ストーン","► Clear stage with a team of at most 2 members
► Clear stage with no one defeated
► Clear stage within 120 seconds"
"32","5","Easy","0","43","117","161","138","薄藤の花
ガン・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"32","5","Normal","1","165","162","230","207","薄藤の花
ガン・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"32","5","Hard","2","262","255","460","414","薄藤の花
ガン・ストーン
エンダイブ・コア","► Clear stage with a team of at most 2 members
► Clear stage with no one defeated
► Clear stage within 120 seconds"
"32","6","Easy","0","56","120","168","156","薄藤の花
ロッド・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 20 combo
► Clear stage within 120 seconds"
"32","6","Normal","1","165","156","228","216","薄藤の花
ロッド・ストーン
蒼の涙","► Clear stage with no one defeated
► Clear stage with at least 50 combo
► Clear stage within 120 seconds"
"32","6","Hard","2","262","240","456","456","薄藤の花
ロッド・ストーン
蒼の涙","► Clear stage with a team of at most 2 members
► Clear stage with no one defeated
► Clear stage within 120 seconds"
"33","2","Easy","0","44","126","178","151","クロム・メタル
ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"33","2","Normal","1","166","149","250","223","クロム・メタル
ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"33","2","Hard","2","263","325","500","425","クロム・メタル
ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 100 combo"
"33","3","Easy","0","45","132","185","131","薄藤の花
ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"33","3","Normal","1","166","155","235","231","薄藤の花
ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"33","3","Hard","2","263","338","468","364","薄藤の花
ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 100 combo"
"33","5","Easy","0","46","138","184","161","ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"33","5","Normal","1","166","157","253","230","ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"33","5","Hard","2","263","322","506","483","ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage with at least 100 combo"
"33","6","Easy","0","46","120","194","121","クェーサー・クォーツ
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"33","6","Normal","1","166","168","240","213","クェーサー・クォーツ
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"33","6","Hard","2","263","336","480","360","クェーサー・クォーツ
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage with at least 100 combo"
"34","2","Easy","0","47","132","182","130","薄藤の花
スピア・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 20 combo"
"34","2","Normal","1","166","182","260","234","薄藤の花
スピア・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 50 combo"
"34","2","Hard","2","264","338","520","390","薄藤の花
スピア・ストーン","► Clear stage with a team of at most 1 member
► Clear stage within 120 seconds
► Clear stage with at least 100 combo"
"34","3","Easy","0","47","132","185","181","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 20 combo"
"34","3","Normal","1","166","180","260","231","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage with at least 50 combo"
"34","3","Hard","2","264","338","520","520","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with a team of at most 1 member
► Clear stage within 120 seconds
► Clear stage with at least 100 combo"
"34","5","Easy","0","48","132","191","136","ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage without getting any ailments"
"34","5","Normal","1","166","176","260","228","ソード・ストーン
ガン・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage without getting any ailments"
"34","5","Hard","2","264","364","520","416","ソード・ストーン
ガン・ストーン","► Clear stage with a team of at most 1 member
► Clear stage without getting any ailments
► Clear stage with at least 100 combo"
"34","6","Easy","0","48","132","188","206","クェーサー・クォーツ
ソード・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage without getting any ailments"
"34","6","Normal","1","166","178","260","230","クェーサー・クォーツ
ソード・ストーン","► Clear stage with no one defeated
► Clear stage with a team of at most 2 members
► Clear stage without getting any ailments"
"34","6","Hard","2","264","364","520","572","クェーサー・クォーツ
ソード・ストーン","► Clear stage with a team of at most 1 member
► Clear stage without getting any ailments
► Clear stage with at least 100 combo"
"35","2","Easy","0","49","132","188","158","薄藤の花
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"35","2","Normal","1","167","178","260","230","薄藤の花
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"35","2","Hard","2","265","364","520","416","薄藤の花
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"35","3","Easy","0","49","135","195","164","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"35","3","Normal","1","167","185","270","239","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"35","3","Hard","2","265","378","540","459","クロム・メタル
スピア・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"35","5","Easy","0","50","141","196","168","ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"35","5","Normal","1","167","196","252","252","ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"35","5","Hard","2","265","392","504","476","ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage with at least 100 combo"
"35","6","Easy","0","51","147","213","151","クェーサー・クォーツ
ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"35","6","Normal","1","167","165","270","227","クェーサー・クォーツ
ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"35","6","Hard","2","265","378","540","405","クェーサー・クォーツ
ロッド・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage with at least 100 combo"
"36","2","Easy","0","51","156","208","130","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with a team of at most 2 members"
"36","2","Normal","1","168","208","260","234","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with a team of at most 2 members"
"36","2","Hard","2","266","390","520","390","クロム・メタル
ハンマー・ストーン","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 120 seconds"
"36","3","Easy","0","52","150","200","150","ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with a team of at most 2 members"
"36","3","Normal","1","168","200","275","250","ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with a team of at most 2 members"
"36","3","Hard","2","266","400","550","425","ハンマー・ストーン
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage with full HP
► Clear stage within 120 seconds"
"36","5","Easy","0","52","150","200","150","薄藤の花
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"36","5","Normal","1","168","200","275","250","薄藤の花
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"36","5","Hard","2","266","400","550","400","薄藤の花
ロッド・ストーン","► Clear stage with a team of at most 1 member
► Clear stage within 120 seconds
► Clear stage with at least 100 combo"
"36","6","Easy","0","66","168","196","140","クェーサー・クォーツ
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"36","6","Normal","1","168","196","280","252","クェーサー・クォーツ
ロッド・ストーン","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"36","6","Hard","2","266","420","560","448","クェーサー・クォーツ
ロッド・ストーン","► Clear stage with a team of at most 1 member
► Clear stage within 120 seconds
► Clear stage with at least 100 combo"
"37","2","Easy","0","53","177","210","175","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"37","2","Normal","1","168","216","288","252","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"37","2","Hard","2","267","432","576","504","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 50 combo"
"37","3","Easy","0","54","141","210","140","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"37","3","Normal","1","168","222","259","259","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"37","3","Hard","2","267","408","518","407","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 50 combo"
"37","5","Easy","0","55","165","198","165","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"37","5","Normal","1","168","222","259","259","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"37","5","Hard","2","267","444","518","555","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"37","6","Easy","0","55","156","182","130","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"37","6","Normal","1","168","225","280","252","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"37","6","Hard","2","267","450","560","392","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","2","Easy","0","56","156","182","156","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"38","2","Normal","1","169","225","280","252","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","2","Hard","2","268","450","560","448","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","3","Easy","0","56","168","196","196","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"38","3","Normal","1","169","219","279","248","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","3","Hard","2","268","435","558","589","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","5","Easy","0","57","156","182","156","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"38","5","Normal","1","169","234","290","261","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","5","Hard","2","268","465","580","464","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage without getting any ailments
► Clear stage with at least 50 combo"
"38","6","Easy","0","58","168","196","168","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"38","6","Normal","1","169","219","279","279","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"38","6","Hard","2","268","420","504","588","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"39","2","Easy","0","58","162","189","162","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"39","2","Normal","1","169","225","280","252","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"39","2","Hard","2","269","450","560","448","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"39","3","Easy","0","59","165","203","178","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"39","3","Normal","1","169","237","290","270","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"39","3","Hard","2","269","471","580","508","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"39","5","Easy","0","59","168","196","168","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"39","5","Normal","1","169","249","279","279","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"39","5","Hard","2","269","465","558","558","エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage without getting any ailments"
"39","6","Easy","0","60","171","207","156","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"39","6","Normal","1","169","240","294","273","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"39","6","Hard","2","269","483","588","444","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"40","2","Easy","0","61","192","228","152","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 20 combo"
"40","2","Normal","1","170","234","312","273","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Clear stage within 120 seconds
► Clear stage with at least 50 combo"
"40","2","Hard","2","270","507","624","429","ダマスカス・メタル
エンダイブ・コア","► Clear stage with no one defeated
► Defeat all enemies
► Clear stage with at least 50 combo"
