stage_name,part,episode,stage_number,easy_level,easy_exp,easy_coins,easy_cheerpoint,easy_objectives,normal_level,normal_exp,normal_coins,normal_cheerpoint,normal_objectives,hard_level,hard_exp,hard_coins,hard_cheerpoint,hard_objectives,small_irousu,large_irousu,drops
Recapture Lesson 29-2: 1st period,1,29,2,36,105,156,156,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",161,105,208,182,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",255,156,416,442,"- Clear stage with only middle school year 1 students
- Achieve 50 combo
- Clear stage within 120 seconds","35,21",23,"シャヴィット・クォーツ
スピア・ストーン
蒼の涙"
Recapture Lesson 29-3: 2nd period,1,29,3,37,81,162,108,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",161,108,189,189,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",255,162,378,324,"- Clear stage with only middle school year 1 students
- Achieve 50 combo
- Clear stage within 120 seconds","35,21","37,23","クロム・メタル
スピア・ストーン
エンダイブ・コア"
Recapture Lesson 29-5: 3rd period,1,29,5,37,84,162,162,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",161,108,216,189,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",256,162,432,432,"- Clear stage with only high school year 1 students
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","14,29",16,"ガン・ストーン
エンダイブ・コア"
Recapture Lesson 29-6: 4th period,1,29,6,38,105,147,147,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",161,126,210,189,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",256,189,420,441,"- Clear stage with only high school year 1 students
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","14,29,5","18,8","薄藤の花
ガン・ストーン
蒼の涙"
Recapture Lesson 30-2: 1st period,1,30,2,38,114,168,140,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",162,114,196,196,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",257,168,392,420,"- Clear stage with only middle school year 2 students
- Achieve 100 combo
- Clear stage without getting status ailments","25,5","27,41,28,42","クロム・メタル
ソード・ストーン"
Recapture Lesson 30-3: 2nd period,1,30,3,39,105,156,156,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",162,132,208,182,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",257,210,416,416,"- Clear stage with only middle school year 2 students
- Achieve 100 combo
- Clear stage without getting status ailments","25,5","27,9","ソード・ストーン
蒼の涙"
Recapture Lesson 30-5: 3rd period,1,30,5,39,96,174,116,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",163,117,203,203,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",258,174,406,377,"- Clear stage with only high school year 2 students
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","39,40","41,42","薄藤の花
ロッド・ストーン
エンダイブ・コア"
Recapture Lesson 30-6: 4th period,1,30,6,40,105,156,156,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",163,132,208,182,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",258,210,416,442,"- Clear stage with only high school year 2 students
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","39,29","23,31","シャヴィット・クォーツ
ロッド・ストーン"
Recapture Lesson 31-2: 1st period,1,31,2,40,114,152,114,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",163,135,209,190,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",259,210,418,342,"- Clear stage with only middle school year 3 students
- Clear stage with two team members or fewer
- Clear stage within 60 seconds","5,46",8,"薄藤の花
ハンマー・ストーン
エンダイブ・コア"
Recapture Lesson 31-3: 2nd period,1,31,3,41,120,168,144,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",163,144,216,192,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",259,216,432,408,"- Clear stage with only middle school year 3 students
- Clear stage with two team members or fewer
- Clear stage within 60 seconds","46,6",10,"クロム・メタル
ハンマー・ストーン"
Recapture Lesson 31-5: 3rd period,1,31,5,41,105,156,156,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",164,132,208,208,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",260,210,416,416,"- Clear stage with only high school year 3 students
- Achieve 100 combo
- Clear stage without getting status ailments","39,46,29","41,31","ロッド・ストーン
蒼の涙"
Recapture Lesson 31-6: 4th period,1,31,6,42,105,156,156,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage without getting status ailments",164,156,234,208,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage without getting status ailments",260,234,468,416,"- Clear stage with only high school year 3 students
- Achieve 100 combo
- Clear stage without getting status ailments","46,29,39",41,"シャヴィット・クォーツ
ガン・ストーン"
Recapture Lesson 32-2: 1st period,1,32,2,42,111,176,154,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",164,156,220,198,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",261,243,440,418,"- Clear stage with two team members or fewer
- Clear stage without anyone being defeated
- Clear stage within 120 seconds","46,5","48,8","ソード・ストーン
スピア・ストーン"
Recapture Lesson 32-3: 2nd period,1,32,3,43,126,175,150,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",164,150,225,200,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",261,225,450,400,"- Clear stage with two team members or fewer
- Clear stage without anyone being defeated
- Clear stage within 120 seconds","35,46","48,37","クロム・メタル
ハンマー・ストーン"
Recapture Lesson 32-5: 3rd period,1,32,5,43,117,161,138,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",165,162,230,207,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",262,255,460,414,"- Clear stage with two team members or fewer
- Clear stage without anyone being defeated
- Clear stage within 120 seconds","30,46","48,17,32","薄藤の花
ガン・ストーン
エンダイブ・コア"
Recapture Lesson 32-6: 4th period,1,32,6,56,120,168,156,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage within 120 seconds",165,156,228,216,"- Clear stage without anyone being defeated
- Achieve 50 combo
- Clear stage within 120 seconds",262,240,456,456,"- Clear stage with two team members or fewer
- Clear stage without anyone being defeated
- Clear stage within 120 seconds",46,48,"薄藤の花
ロッド・ストーン
蒼の涙"
Recapture Lesson 33-2: 1st period,1,33,2,44,126,178,151,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",166,149,250,223,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",263,325,500,425,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 100 combo","14,46","48,16","クロム・メタル
ソード・ストーン
ガン・ストーン"
Recapture Lesson 33-3: 2nd period,1,33,3,45,132,185,131,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",166,155,235,231,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",263,338,468,364,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 100 combo","14,46","16,48","薄藤の花
ソード・ストーン
ガン・ストーン"
Recapture Lesson 33-5: 3rd period,1,33,5,46,138,184,161,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",166,157,253,230,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",263,322,506,483,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Achieve 100 combo","46,44","8,48","ハンマー・ストーン
エンダイブ・コア"
Recapture Lesson 33-6: 4th period,1,33,6,46,120,194,121,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",166,168,240,213,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",263,336,480,360,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Achieve 100 combo","46,44","8,48","クェーサー・クォーツ
ハンマー・ストーン"
Recapture Lesson 34-2: 1st period,1,34,2,47,132,182,130,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 20 combo",166,182,260,234,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 50 combo",264,338,520,390,"- Clear stage with only one team member
- Clear stage within 120 seconds
- Achieve 100 combo","6,44,21","8,23,18","薄藤の花
スピア・ストーン"
Recapture Lesson 34-3: 2nd period,1,34,3,47,132,185,181,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 20 combo",166,180,260,231,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 50 combo",264,338,520,520,"- Clear stage with only one team member
- Clear stage within 120 seconds
- Achieve 100 combo","6,44,21","8,23,18","クロム・メタル
スピア・ストーン
エンダイブ・コア"
Recapture Lesson 34-5: 3rd period,1,34,5,48,132,191,136,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",166,176,260,228,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",264,364,520,416,"- Clear stage with only one team member
- Clear stage without getting status ailments
- Achieve 100 combo","35,26","37,31","ソード・ストーン
ガン・ストーン"
Recapture Lesson 34-6: 4th period,1,34,6,48,132,188,206,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",166,178,260,230,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",264,364,520,572,"- Clear stage with only one team member
- Clear stage without getting status ailments
- Achieve 100 combo","35,29,25","31,32,37","クェーサー・クォーツ
ソード・ストーン"
Recapture Lesson 35-2: 1st period,1,35,2,49,132,188,158,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",167,178,260,230,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",265,364,520,416,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments","40,6,26","42,9","薄藤の花
スピア・ストーン
エンダイブ・コア"
Recapture Lesson 35-3: 2nd period,1,35,3,49,135,195,164,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",167,185,270,239,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",265,378,540,459,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments","40,6,26","8,42,9","クロム・メタル
スピア・ストーン
エンダイブ・コア"
Recapture Lesson 35-5: 3rd period,1,35,5,50,141,196,168,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",167,196,252,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",265,392,504,476,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Achieve 100 combo","44,46",48,"ロッド・ストーン
エンダイブ・コア"
Recapture Lesson 35-6: 4th period,1,35,6,51,147,213,151,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",167,165,270,227,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",265,378,540,405,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Achieve 100 combo","44,46",48,"クェーサー・クォーツ
ロッド・ストーン
エンダイブ・コア"
Recapture Lesson 36-2: 1st period,1,36,2,51,156,208,130,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with two team members or fewer",168,208,260,234,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with two team members or fewer",266,390,520,390,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 120 seconds",44,45,"クロム・メタル
ハンマー・ストーン"
Recapture Lesson 36-3: 2nd period,1,36,3,52,150,200,150,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with two team members or fewer",168,200,275,250,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage with two team members or fewer",266,400,550,425,"- Clear stage without anyone being defeated
- Clear stage with everyone having full HP
- Clear stage within 120 seconds",44,45,"ハンマー・ストーン
エンダイブ・コア"
Recapture Lesson 36-5: 3rd period,1,36,5,52,150,200,150,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",168,200,275,250,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",266,400,550,400,"- Clear stage with only one team member
- Clear stage within 120 seconds
- Achieve 100 combo","44,46","48,45","薄藤の花
ロッド・ストーン"
Recapture Lesson 36-6: 4th period,1,36,6,66,168,196,140,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",168,196,280,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",266,420,560,448,"- Clear stage with only one team member
- Clear stage within 120 seconds
- Achieve 100 combo","44,46","45,48","クェーサー・クォーツ
ロッド・ストーン"
Recapture Lesson 37-2: 1st period,1,37,2,53,177,210,175,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",168,216,288,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",267,432,576,504,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 50 combo","39,25","23,41",エンダイブ・コア
Recapture Lesson 37-3: 2nd period,1,37,3,54,141,210,140,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",168,222,259,259,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",267,408,518,407,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 50 combo","39,25","27,41",エンダイブ・コア
Recapture Lesson 37-5: 3rd period,1,37,5,55,165,198,165,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",168,222,259,259,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",267,444,518,555,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","35,29,46","37,31","ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 37-6: 4th period,1,37,6,55,156,182,130,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",168,225,280,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",267,450,560,392,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","35,29,46,5","37,31,48","ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 38-2: 1st period,1,38,2,56,156,182,156,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",169,225,280,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",268,450,560,448,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","14,5,39","16,42,7",エンダイブ・コア
Recapture Lesson 38-3: 2nd period,1,38,3,56,168,196,196,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",169,219,279,248,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",268,435,558,589,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","14,5,39","16,7,9","ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 38-5: 3rd period,1,38,5,57,156,182,156,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",169,234,290,261,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",268,465,580,464,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 50 combo","21,39","41,23,42",エンダイブ・コア
Recapture Lesson 38-6: 4th period,1,38,6,58,168,196,168,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",169,219,279,279,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",268,420,504,588,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","21,29","23,31","ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 39-2: 1st period,1,39,2,58,162,189,162,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",169,225,280,252,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",269,450,560,448,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments","25,29","27,28,31",エンダイブ・コア
Recapture Lesson 39-3: 2nd period,1,39,3,59,165,203,178,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",169,237,290,270,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",269,471,580,508,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",,50,"ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 39-5: 3rd period,1,39,5,59,168,196,168,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",169,249,279,279,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",269,465,558,558,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments","35,39,14","41,37,18",エンダイブ・コア
Recapture Lesson 39-6: 4th period,1,39,6,60,171,207,156,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",169,240,294,273,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",269,483,588,444,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo","31,9",50,"ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 40-2: 1st period,1,40,2,61,192,228,152,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",170,234,312,273,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",270,507,624,429,"- Clear stage without anyone being defeated
- Defeat all enemies
- Achieve 50 combo","29,14,35,5,47","37,7,32","ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 40-3: 2nd period,1,40,3,61,174,203,174,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",170,240,300,270,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",270,480,600,480,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","5,21,47","23,9",エンダイブ・コア
Recapture Lesson 40-5: 3rd period,1,40,5,62,183,208,156,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",170,243,297,270,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",270,486,594,432,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo","26,30,46,15","28,48,32",エンダイブ・コア
Recapture Lesson 40-6: 4th period,1,40,6,77,153,171,133,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",170,222,264,242,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",270,441,528,440,"- Clear stage without anyone being defeated
- Defeat all enemies
- Achieve 50 combo","5,39","41,48,32,7,11,18,33","ダマスカス・メタル
エンダイブ・コア"
Recapture Lesson 41-2: 1st period,1,41,2,63,147,174,145,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",171,252,288,288,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",271,504,576,540,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments","35,21","23,37","スピア・ストーン
蒼の涙"
Recapture Lesson 41-3: 2nd period,1,41,3,64,147,174,116,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",171,261,296,296,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",271,518,592,481,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments","35,21","27,38,23",蒼の涙
Recapture Lesson 41-5: 3rd period,1,41,5,64,150,180,180,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",171,252,288,288,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",271,518,592,692,"- Clear stage without anyone being defeated
- Clear stage with at least 75% FEVER
- Achieve 100 combo","25,29","31,27,28","虹の花
蒼の涙"
Recapture Lesson 41-6: 4th period,1,41,6,65,141,160,120,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",171,252,308,280,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",271,399,462,336,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 100 combo","25,29,35","31,27,28","虹の花
蒼の涙"
Recapture Lesson 42-2: 1st period,1,42,2,66,168,192,144,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds",171,261,286,260,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",272,513,594,486,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage within 120 seconds","25,1,21","24,27","ソード・ストーン
蒼の涙"
Recapture Lesson 42-3: 2nd period,1,42,3,66,189,216,189,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments",171,279,310,279,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",272,528,620,651,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Clear stage without getting status ailments","25,1","27,28,42","虹の花
蒼の涙"
Recapture Lesson 42-5: 3rd period,1,42,5,67,162,184,138,"- Clear stage without anyone being defeated
- Clear stage with at least 50% FEVER
- Clear stage without getting status ailments",171,207,253,230,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",272,438,506,414,"- Clear stage without anyone being defeated
- Clear stage with at least 75% FEVER
- Clear stage without getting status ailments","29,39","41,31","虹の花
蒼の涙"
Recapture Lesson 42-6: 4th period,1,42,6,67,204,232,232,"- Clear stage without anyone being defeated
- Clear stage with at least 50% FEVER
- Achieve 20 combo",171,225,250,250,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",272,450,500,575,"- Clear stage without anyone being defeated
- Clear stage with at least 75% FEVER
- Achieve 100 combo","29,39,14","32,41,16","虹の花
蒼の涙"
Recapture Lesson 43-2: 1st period,1,43,2,68,177,200,150,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage with at least 50% FEVER",172,270,297,270,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",273,456,528,432,"- Clear stage without anyone being defeated
- Achieve 100 combo
- Clear stage with at least 75% FEVER","39,21,14,46,47","41,48","ハンマー・ストーン
蒼の涙"
Recapture Lesson 43-3: 2nd period,1,43,3,69,147,168,147,"- Clear stage without anyone being defeated
- Achieve 20 combo
- Clear stage with at least 50% FEVER",172,270,330,300,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",273,456,528,456,"- Clear stage without anyone being defeated
- Achieve 100 combo
- Clear stage with at least 75% FEVER","44,5","48,9,7,45","虹の花
蒼の涙"
Recapture Lesson 43-5: 3rd period,1,43,5,69,189,216,189,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 50% FEVER",172,279,310,310,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",273,450,500,500,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 75% FEVER","35,39","37,41,38","虹の花
蒼の涙"
Recapture Lesson 43-6: 4th period,1,43,6,70,198,224,168,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 50% FEVER",172,270,297,270,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 20 combo",273,513,594,459,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 75% FEVER","35,39,29","41,38,31","虹の花
蒼の涙"
Recapture Lesson 44-2: 1st period,1,44,2,71,210,210,140,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 50% FEVER",173,240,272,272,"- Clear stage without anyone being defeated
- Clear stage with Kaede in team
- Achieve 50 combo",274,585,624,507,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 75% FEVER","25,5,30,35","32,27,38","ロッド・ストーン
蒼の涙"
Recapture Lesson 44-3: 2nd period,1,44,3,71,156,176,132,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 50% FEVER",173,312,341,310,"- Clear stage without anyone being defeated
- Clear stage with Kaede in team
- Achieve 50 combo",274,591,682,558,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Clear stage with at least 75% FEVER","21,5,25","23,27,7,8,10,9","虹の花
ガン・ストーン"
Recapture Lesson 44-5: 3rd period,1,44,5,72,177,198,132,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 20 combo",173,297,324,297,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",274,525,600,450,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 100 combo","26,25,5,21","23,27,31","虹の花
蒼の涙"
Recapture Lesson 44-6: 4th period,1,44,6,88,153,170,136,"- Clear stage without anyone being defeated
- Clear stage with at least 50% FEVER
- Achieve 20 combo",173,144,156,156,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Achieve 50 combo",274,504,546,462,"- Clear stage without anyone being defeated
- Clear stage with at least 75% FEVER
- Achieve 100 combo",5,"41,23,9,7,18","虹の花
蒼の涙"
Recapture Lesson 45-2: 1st period,1,45,2,73,168,196,168,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 20 combo",173,288,324,324,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",275,612,648,612,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 50 combo","14,25","27,16","レインボー・クォーツ
エンダイブ・コア"
Recapture Lesson 45-3: 2nd period,1,45,3,74,192,224,160,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 20 combo",173,297,333,333,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage without getting status ailments",275,630,666,518,"- Clear stage without anyone being defeated
- Clear stage without getting status ailments
- Achieve 50 combo","14,25,39","27,16,41","レインボー・クォーツ
エンダイブ・コア"
Recapture Lesson 45-5: 3rd period,1,45,5,75,180,210,180,"- Clear stage without anyone being defeated
- Clear stage with at least 50% FEVER
- Achieve 20 combo",173,297,333,333,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 50 combo",275,630,666,666,"- Clear stage without anyone being defeated
- Clear stage with two team members or fewer
- Achieve 100 combo","14,5,29","7,31,16","レインボー・クォーツ
エンダイブ・コア"
